Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,DEFeFG%,DEFTOV%,DEFDRB%,DEFFT/FGA,Arena,Attendance
1,Golden State Warriors*,28.2,67,15,67,15,11.63,-0.28,11.35,115.6,104,99.8,0.259,0.359,0.597,0.563,13.2,22.8,0.204,0.485,13.5,74.9,0.198,Oracle Arena,"803,436"
2,San Antonio Spurs*,29.6,61,21,60,22,7.2,-0.06,7.13,111.1,103.5,94.2,0.263,0.281,0.564,0.524,12.6,24,0.21,0.492,13.5,77.6,0.192,AT&T Center,"755,347"
3,Houston Rockets*,27.4,55,27,55,27,5.77,0.08,5.84,114.7,109,100,0.304,0.462,0.583,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.194,Toyota Center,"695,903"
4,Los Angeles Clippers*,30,51,31,52,30,4.29,0.13,4.42,112.7,108.2,96.1,0.312,0.329,0.575,0.537,12.1,21.5,0.233,0.506,12.2,76.9,0.211,STAPLES Center,"782,609"
5,Utah Jazz*,26.8,51,31,52,30,3.94,0.06,4,109.6,105.3,91.6,0.288,0.327,0.563,0.526,13.2,23.2,0.215,0.493,11.8,78.9,0.195,Vivint Smart Home Arena,"806,605"
6,Toronto Raptors*,26.1,51,31,52,30,4.21,-0.56,3.65,112.3,107.8,94.7,0.293,0.289,0.561,0.517,11.8,25,0.233,0.507,13.6,76.3,0.223,Air Canada Centre,"813,050"
7,Cleveland Cavaliers*,29.2,51,31,49,33,3.18,-0.31,2.87,113.6,110.3,96.2,0.275,0.399,0.58,0.547,12.6,22,0.206,0.516,11.4,75.8,0.175,Quicken Loans Arena,"843,042"
8,Boston Celtics*,25.9,53,29,48,34,2.63,-0.39,2.25,111.1,108.4,96.8,0.273,0.393,0.567,0.525,12.2,21.2,0.22,0.503,12.6,75.4,0.223,TD Garden,"760,690"
9,Washington Wizards*,26,49,33,46,36,1.8,-0.45,1.36,111.2,109.3,97.3,0.254,0.285,0.564,0.528,12.8,24,0.199,0.524,13.8,75.5,0.213,Verizon Center,"697,107"
10,Oklahoma City Thunder*,24.7,47,35,43,39,0.76,0.39,1.14,108.3,107.5,97.8,0.295,0.295,0.54,0.5,13.2,28,0.22,0.511,12.5,79,0.218,Chesapeake Energy Arena,"746,323"
11,Memphis Grizzlies*,29.5,43,39,42,40,0.49,0.47,0.96,107.6,107.1,92.3,0.28,0.317,0.535,0.491,12.1,24.7,0.219,0.506,13.6,77.5,0.256,FedEx Forum,"677,314"
12,Miami Heat,26.5,41,41,44,38,1.06,-0.29,0.77,107.8,106.7,95.2,0.251,0.314,0.541,0.512,12.4,24.2,0.177,0.496,12.6,76.4,0.22,AmericanAirlines Arena,"805,400"
13,Denver Nuggets,25.2,40,42,42,40,0.51,0.19,0.7,113.2,112.7,98.3,0.276,0.329,0.568,0.53,13.2,27.3,0.214,0.532,10.9,78.6,0.194,Pepsi Center,"605,585"
14,Chicago Bulls*,26.9,41,41,42,40,0.43,-0.39,0.03,107.4,107,95.3,0.259,0.256,0.53,0.487,12.2,27,0.206,0.507,12.4,76.8,0.169,United Center,"888,882"
15,Charlotte Hornets,26.5,36,46,42,40,0.2,-0.26,-0.07,108.8,108.6,95.7,0.279,0.335,0.547,0.501,10.7,19.9,0.227,0.523,12.1,79.6,0.164,Spectrum Center,"710,643"
16,Portland Trail Blazers*,24.8,41,41,40,42,-0.52,0.3,-0.23,110.3,110.8,96.7,0.275,0.322,0.559,0.52,12.5,23,0.214,0.508,11.6,76.8,0.241,Moda Center,"792,029"
17,Milwaukee Bucks*,25.6,42,40,40,42,-0.18,-0.26,-0.45,109.1,109.3,94.5,0.274,0.29,0.565,0.528,13.2,21.5,0.21,0.518,13.6,75.4,0.215,BMO Harris Bradley Center,"648,952"
18,Indiana Pacers*,27,42,40,40,42,-0.22,-0.42,-0.64,108.6,108.8,95.9,0.261,0.272,0.558,0.516,12.7,21.2,0.212,0.512,13.6,75.4,0.225,Bankers Life Fieldhouse,"684,578"
19,Minnesota Timberwolves,24,31,51,38,44,-1.11,0.47,-0.64,110.8,112,94.6,0.287,0.249,0.555,0.511,12.9,27.2,0.229,0.535,13.2,75.9,0.212,Target Center,"607,203"
20,Atlanta Hawks*,27.9,43,39,39,43,-0.85,-0.38,-1.23,104.9,105.8,97.4,0.295,0.309,0.541,0.504,14.2,23.7,0.214,0.507,13.8,76.1,0.179,Philips Arena,"654,306"
21,Detroit Pistons,25.4,37,45,38,44,-1.12,-0.17,-1.29,106,107.2,95,0.218,0.263,0.521,0.492,10.9,24.1,0.157,0.516,12.1,81.2,0.197,The Palace of Auburn Hills,"655,141"
22,New Orleans Pelicans,25.7,34,48,35,47,-2.1,0.41,-1.69,105.3,107.4,98,0.256,0.308,0.539,0.504,11.7,18.6,0.192,0.509,12.4,76.7,0.177,Smoothie King Center,"663,099"
23,Dallas Mavericks,27.6,33,49,33,49,-2.93,0.4,-2.53,105.6,108.8,92.2,0.225,0.366,0.541,0.505,11.6,18.2,0.18,0.53,14.4,77.6,0.218,American Airlines Center,"811,366"
24,Sacramento Kings,27.8,32,50,31,51,-3.88,0.58,-3.29,107.3,111.3,94.9,0.284,0.291,0.556,0.516,13.7,21,0.22,0.528,12.9,76.3,0.227,Golden 1 Center,"721,928"
25,New York Knicks,27.3,31,51,31,51,-3.67,-0.2,-3.87,107.8,111.5,96,0.239,0.279,0.534,0.496,12.5,26.5,0.188,0.511,11.7,74.1,0.214,Madison Square Garden (IV),"810,741"
26,Phoenix Suns,25,24,58,27,55,-5.63,0.49,-5.14,106.6,112.2,100.3,0.297,0.256,0.538,0.493,13.4,26.1,0.231,0.525,13.1,76.4,0.264,Talking Stick Resort Arena,"708,639"
27,Philadelphia 76ers,24.6,28,54,26,56,-5.7,-0.14,-5.83,103.2,108.9,98.5,0.258,0.349,0.54,0.501,14.9,22.4,0.199,0.513,13.5,75.3,0.234,Wells Fargo Center,"710,557"
28,Los Angeles Lakers,25.1,26,56,24,58,-6.88,0.58,-6.29,106,113,98.5,0.259,0.294,0.537,0.501,13.5,25,0.195,0.542,13,75.8,0.213,STAPLES Center,"776,917"
29,Orlando Magic,25.3,29,53,24,58,-6.57,-0.04,-6.61,103.7,110.4,96.8,0.246,0.3,0.524,0.489,12.1,21.6,0.184,0.523,11.9,77.3,0.201,Amway Center,"727,875"
30,Brooklyn Nets,26,20,62,24,58,-6.73,-0.01,-6.74,104.1,110.7,101.3,0.289,0.371,0.551,0.507,14.7,19.5,0.228,0.513,11.6,76.2,0.212,Barclays Center,"632,608"
